age,city,country,finalWorth,firstName,gender,industries,lastName,rank,source
57,Brussels,Belgium,36200,Giovanni,M,Food & Beverage,Ferrero,36,"Nutella, chocolates"
93,,Hong Kong,34800,Ka-shing,M,Diversified,Li,37,diversified
75,New York,United States,34800,Stephen,M,Finance & Investments,Schwarzman,37,investments
94,Hong Kong,Hong Kong,32600,Shau Kee,M,Real Estate,Lee,39,real estate
64,London,United Kingdom,32500,Len,M,Diversified,Blavatnik,40,"music, chemicals"
82,The Plains,United States,31700,Jacqueline,F,Food & Beverage,Mars,41,"candy, pet food"
86,Jackson,United States,31700,John,M,Food & Beverage,Mars,41,"candy, pet food"
73,New York,United States,31200,Alain,M,Fashion & Retail,Wertheimer,43,Chanel
71,New York,United States,31200,Gerard,M,Fashion & Retail,Wertheimer,43,Chanel
68,Mexico City,Mexico,30800,German,M,Metals & Mining,Larrea Mota Velasco,45,mining
68,Perth,Australia,30200,Gina,F,Metals & Mining,Rinehart,46,mining
76,Delhi,India,28700,Shiv,M,Technology,Nadar,47,software services
83,East Setauket,United States,28600,Jim,M,Finance & Investments,Simons,48,hedge funds
79,Foshan,China,28300,Xiangjian,M,Manufacturing,He,49,home appliances
76,Las Vegas,United States,27500,Miriam,F,Gambling & Casinos,Adelson,50,casinos
77,Fuschl am See,Austria,27400,Dietrich,M,Food & Beverage,Mateschitz,51,Red Bull
86,Milan,Italy,27300,Leonardo,M,Fashion & Retail,Del Vecchio,52,eyeglasses
53,Chicago,United States,27200,Ken,M,Finance & Investments,Griffin,53,hedge funds
73,Tokyo,Japan,26100,Tadashi,M,Fashion & Retail,Yanai,54,fashion retail
50,Hangzhou,China,25200,William Lei,M,Technology,Ding,55,online games
59,Bad Homburg,Germany,24300,Susanne,F,Automotive,Klatten,56,"BMW, pharmaceuticals"
80,Pune,India,24300,Cyrus,M,Healthcare,Poonawalla,56,vaccines
51,Shenzhen,China,24300,Wei,M,Service,Wang,56,package delivery
56,Nanyang,China,24100,Yinglin,M,Food & Beverage,Qin,59,pig breeding
30,Nassau,Bahamas,24000,Sam,M,Finance & Investments,Bankman-Fried,60,cryptocurrency exchange
76,Osaka,Japan,23900,Takemitsu,M,Manufacturing,Takizaki,61,sensors
58,Hangzhou,China,23700,Shufu,M,Automotive,Li,62,automobiles
51,Laval,France,23500,Emmanuel,M,Food & Beverage,Besnier,63,cheese
81,Kudus,Indonesia,23200,R. Budi,M,Finance & Investments,Hartono,64,"banking, tobacco"
89,New York,United States,23100,Leonard,M,Fashion & Retail,Lauder,65,Estee Lauder
40,,,23000,Guillaume,M,Finance & Investments,Pousaz,66,fintech
79,Santiago,Chile,22800,Iris,F,Metals & Mining,Fontbona,67,mining
57,Hangzhou,China,22800,Jack,M,Technology,Ma,67,e-commerce
82,Kudus,Indonesia,22300,Michael,M,Manufacturing,Hartono,69,"banking, tobacco"
66,Atherton,United States,22100,Eric,M,Technology,Schmidt,70,Google
72,Greenwich,United States,22000,Ray,M,Finance & Investments,Dalio,71,hedge funds
60,Franklin,United States,22000,Daniel,M,Finance & Investments,Gilbert,71,Quicken Loans
83,Nashville,United States,21800,Thomas,M,Healthcare,Frist,73,hospitals
64,Tokyo,Japan,21300,Masayoshi,M,Telecom,Son,74,"internet, telecom"
60,Milton,United States,21200,Abigail,F,Finance & Investments,Johnson,75,money management
91,New York,United States,20800,Rupert,M,Media & Entertainment,Murdoch,76,"newspapers, TV network"
55,Frankfurt,Germany,20700,Stefan,M,Automotive,Quandt,77,BMW
59,Los Altos,United States,20600,Jensen,M,Technology,Huang,78,semiconductors
55,Ningde,China,20300,Shilin,M,Automotive,Huang,79,batteries
77,Palm Beach,United States,20100,Thomas,M,Finance & Investments,Peterffy,80,discount brokerage
67,Mumbai,India,20000,Radhakishan,M,Fashion & Retail,Damani,81,"retail, investments"
66,Foshan,China,19600,Kang,M,Food & Beverage,Pang,82,soy sauce
56,Shenzhen,China,19500,Chuanfu,M,Automotive,Wang,83,"batteries, automobiles"
86,Kuenzelsau,Germany,19000,Reinhold,M,Manufacturing,Wuerth,84,fasteners
71,Mulheim an der Ruhr,Germany,18700,Theo,M,Fashion & Retail,Albrecht,85,"Aldi, Trader Joe's"
40,Foshan,China,18700,Huiyan,F,Real Estate,Yang,85,real estate
65,Moscow,Russia,18400,Vladimir,M,Metals & Mining,Lisin,87,"steel, transport"
55,Wujiang,China,18200,Hongwei,F,Energy,Fan,88,petrochemicals
71,London,United Kingdom,17900,Lakshmi,M,Metals & Mining,Mittal,89,steel
60,Perth,Australia,17800,Andrew,M,Metals & Mining,Forrest,90,mining
68,Chongqing,China,17700,Rensheng,M,Healthcare,Jiang,91,vaccines
72,Hisar,India,17700,Savitri,F,Metals & Mining,Jindal,91,steel
54,Shenzhen,China,17700,Wenyin,M,Metals & Mining,Wang,91,"mining, copper products"
71,Shenzhen,China,17600,Xiting,M,Healthcare,Li,94,medical devices
74,Stockholm,Sweden,17600,Stefan,M,Fashion & Retail,Persson,94,H&M
65,Greenwich,United States,17400,Steve,M,Finance & Investments,Cohen,96,hedge funds
61,Moscow,Russia,17300,Vladimir,M,Metals & Mining,Potanin,97,metals
76,Oklahoma City,United States,17200,Harold,M,Energy,Hamm,98,oil & gas
63,Lianyungang,China,17100,Piaoyang,M,Healthcare,Sun,99,pharmaceuticals
66,Ningbo,China,17000,Liguo,M,Manufacturing,Luo,100,chemicals
75,Hong Kong,Hong Kong,17000,Peter,M,Real Estate,Woo,100,real estate
81,Geneva,Switzerland,16800,Gianluigi & Rafaela,,Logistics,Aponte,102,Shipping
64,Palm Beach,United States,16700,David,M,Finance & Investments,Tepper,103,hedge funds
54,Prague,Czechia,16600,Renata,F,Finance & Investments,Kellnerova,104,"finance, telecommunications"
82,Eau Claire,United States,16600,John,M,Fashion & Retail,Menard,104,home improvement stores
54,Mumbai,India,16500,Kumar,M,Diversified,Birla,106,commodities
86,Indian Creek,United States,16500,Carl,M,Finance & Investments,Icahn,106,investments
0,Grand Rapids,United States,16500,Hank & Doug,M,Fashion & Retail,Meijer,106,supermarkets
35,Chicago,United States,16500,Lukas,M,Fashion & Retail,Walton,106,Walmart
58,Palo Alto,United States,16400,Laurene,F,Technology,Powell Jobs,110,"Apple, Disney"
69,London,United Kingdom,16300,James,M,Manufacturing,Ratcliffe,111,chemicals
89,Newport Beach,United States,16200,Donald,M,Real Estate,Bren,112,real estate
55,Shenzhen,China,16100,Hang,M,Healthcare,Xu,113,medical devices
59,Guangzhou,China,15700,Xiangyang,M,Automotive,Lu,114,"automobiles, batteries"
66,Mumbai,India,15600,Dilip,M,Healthcare,Shanghvi,115,pharmaceuticals
58,Baoding,China,15500,Jianjun,M,Automotive,Wei,116,automobiles
82,Zurich,Switzerland,15400,Jorge Paulo,M,Food & Beverage,Lemann,117,beer
71,Monte Carlo,Monaco,15400,Eyal,M,Diversified,Ofer,117,"real estate, shipping"
42,Sydney,Australia,15300,Mike,M,Technology,Cannon-Brookes,119,software
58,Beijing,China,15300,Yajun,F,Real Estate,Wu,119,real estate
67,London,United Kingdom,15200,Charlene,F,Food & Beverage,de Carvalho-Heineken,121,Heineken
54,Geneva,Switzerland,15200,Michael,M,Finance & Investments,Platt,121,hedge funds
37,Dubai,United Arab Emirates,15100,Pavel,M,Technology,Durov,123,messaging app
42,Sydney,Australia,15100,Scott,M,Technology,Farquhar,123,software
92,Mumbai,India,15000,Pallonji,M,Construction & Engineering,Mistry,125,construction
49,Yinchuan,China,14800,Yanbao,M,Metals & Mining,Dang,126,coal
44,San Jose,United States,14600,Robert,M,Technology,Pera,127,wireless networking gear
92,New York,United States,14400,Donald,M,Media & Entertainment,Newhouse,128,media
63,Mumbai,India,14300,Uday,M,Finance & Investments,Kotak,129,banking
64,Lagos,Nigeria,14000,Aliko,M,Manufacturing,Dangote,130,"cement, sugar"
66,Moscow,Russia,14000,Leonid,M,Energy,Mikhelson,130,"gas, chemicals"
64,Delhi,India,13900,Sunil,M,Telecom,Mittal,132,telecom
0,Singapore,Singapore,13700,Robert & Philip,M,Real Estate,Ng,133,real estate
58,Chengdu,China,13650,Hanyuan,M,Food & Beverage,Liu,134,agribusiness
70,Hong Kong,Hong Kong,13600,Joseph,M,Real Estate,Lau,135,real estate
49,Aarhus,Denmark,13600,Anders Holch,M,Fashion & Retail,Povlsen,135,fashion retail
82,Bangkok,Thailand,13500,Dhanin,M,Diversified,Chearavanont,137,diversified
57,Hong Kong,Hong Kong,13200,Hongjia,M,Finance & Investments,Gong,138,video surveillance
73,Shanghai,China,13200,Yongxing,M,Service,Liu,138,diversified
56,Moscow,Russia,13200,Alexey,M,Metals & Mining,Mordashov,138,"steel, investments"
67,Beijing,China,13200,Jianlin,M,Real Estate,Wang,138,real estate
81,Incline Village,United States,12900,David,M,Technology,Duffield,142,business software
54,Xi'an,China,12900,Zhenguo,M,Manufacturing,Li,142,solar wafers and modules
89,Sydney,Australia,12800,Harry,M,Real Estate,Triguboff,144,real estate
50,Shenzhen,China,12800,Zhidong,M,Technology,Zhang,144,internet media
56,Changsha,China,12700,Bang,M,Healthcare,Chen,146,hospitals
70,Woodside,United States,12700,John,M,Technology,Doerr,146,venture capital
0,London,United Kingdom,12700,,M,Diversified,Hinduja,146,diversified
92,Hong Kong,Hong Kong,12600,Siu-hing,F,Real Estate,Kwong,149,real estate
63,Ningde,China,12500,Zhenhua,M,Energy,Pei,150,batteries
66,Mexico City,Mexico,12400,Ricardo,M,Fashion & Retail,Salinas Pliego,151,"retail, media"
93,Vancouver,Canada,12200,Jim,M,Diversified,Pattison,152,diversified
84,Woodside,United States,12200,Charles,M,Finance & Investments,Schwab,152,discount brokerage
94,Singapore,Singapore,12100,Cheng Liang,M,Manufacturing,Goh,154,paints
59,Hangzhou,China,12100,Jianhua,M,Manufacturing,Lin,154,solar panel components
77,Bangkok,Thailand,12000,Charoen,M,Food & Beverage,Sirivadhanabhakdi,156,"alcohol, real estate"
63,Haverford,United States,12000,Jeff,M,Finance & Investments,Yass,156,"trading, investments"
77,London,United Kingdom,11900,John,M,Logistics,Fredriksen,158,shipping
72,Tegernsee,Germany,11900,Andreas,M,Healthcare,Struengmann,158,pharmaceuticals
72,Tegernsee,Germany,11900,Thomas,M,Healthcare,Struengmann,158,pharmaceuticals
57,London,United Kingdom,11800,Mikhail,M,Energy,Fridman,161,"oil, banking, telecom"
56,Bangkok,Thailand,11800,Sarath,M,Energy,Ratanavadi,161,energy
98,Hong Kong,Hong Kong,11700,Robert,M,Diversified,Kuok,163,"palm oil, shipping, property"
52,Beijing,China,11700,Jun,M,Technology,Lei,163,smartphones
74,,,11700,Congyuan,M,Fashion & Retail,Zhang,163,shoes
93,Hong Kong,Hong Kong,11600,Che Woo,M,Gambling & Casinos,Lui,166,casinos/hotels
40,San Francisco,United States,11500,Brian,M,Technology,Chesky,167,Airbnb
73,New York,United States,11500,Israel,M,Finance & Investments,Englander,167,hedge funds
37,San Francisco,United States,11500,Dustin,M,Technology,Moskovitz,167,Facebook
68,Moscow,Russia,11500,Alisher,M,Metals & Mining,Usmanov,167,"steel, telecom, investments"
62,Reno,United States,11400,Jay,M,Technology,Chaudhry,171,security software
61,Melbourne,Australia,11400,Anthony,M,Manufacturing,Pratt,171,manufacturing
42,Shanghai,China,11300,Colin Zheng,M,Technology,Huang,173,e-commerce
69,Xingtai,China,11300,Baofang,M,Energy,Jin,173,solar panels
54,Honolulu,United States,11300,Pierre,M,Technology,Omidyar,173,"eBay, PayPal"
69,Moscow,Russia,11300,Gennady,M,Energy,Timchenko,173,"oil, gas"
59,Bloomington,United States,11100,Carl,M,Healthcare,Cook,177,medical devices
50,Moscow,Russia,11100,Andrey,M,Metals & Mining,Melnichenko,177,"coal, fertilizers"
43,Beijing,China,11000,Xing,M,Technology,Wang,179,e-commerce
82,Denver,United States,10900,Philip,M,Finance & Investments,Anschutz,180,investments
71,Palo Alto,United States,10900,David,M,Technology,Cheriton,180,Google
54,Hamburg,Germany,10900,Alexander,M,Real Estate,Otto,180,real estate
75,Afton,United States,10700,Diane,F,Construction & Engineering,Hendricks,183,roofing
74,Electra,United States,10700,Stanley,M,Sports,Kroenke,183,"sports, real estate"
79,Dallas,United States,10600,Jerry,M,Sports,Jones,185,Dallas Cowboys
80,Kuala Lumpur,Malaysia,10600,Leng Chan,M,Diversified,Quek,185,"banking, property"
40,Singapore,Singapore,10600,Eduardo,M,Media & Entertainment,Saverin,185,Facebook
71,Moscow,Russia,10500,Vagit,M,Energy,Alekperov,188,oil
48,Beijing,China,10500,Richard ,M,Technology,Liu,188,e-commerce
66,London,United Kingdom,10500,Idan,M,Diversified,Ofer,188,shipping
74,Stockholm,Sweden,10400,Melker,M,Finance & Investments,Schorling,191,investments
46,New York,United States,10300,Chase,M,Finance & Investments,Coleman,192,investments
65,Hangzhou,China,10300,Shuirong,M,Manufacturing,Li,192,petrochemicals
80,Monte Carlo,Monaco,10300,Stefano,M,Fashion & Retail,Pessina,192,drugstores
56,Moscow,Russia,10300,Mikhail,M,Finance & Investments,Prokhorov,192,investments
72,Sao Paulo,Brazil,10300,Marcel Herrmann,M,Food & Beverage,Telles,192,beer
70,New York,United States,10000,Leon,M,Finance & Investments,Black,197,private equity
40,Austin,United States,10000,Joe,M,Technology,Gebbia,197,Airbnb
79,Beverly Hills,United States,10000,David,M,Media & Entertainment,Geffen,197,"movies, record labels"
56,Ningbo,China,10000,Renrong,M,Manufacturing,Yu,197,semiconductors
69,Dallas,United States,9900,Andrew,M,Finance & Investments,Beal,201,"banks, real estate"
79,Tulsa,United States,9900,George,M,Energy,Kaiser,201,"oil & gas, banking"
52,Shanghai,China,9900,Shi,M,Technology,Qi,201,financial information
89,Bogota,Colombia,9900,Luis Carlos,M,Finance & Investments,Sarmiento,201,banking
66,Palo Alto,United States,9900,Andreas,M,Technology,von Bechtolsheim,201,Google
46,Atherton,United States,9800,Jan,M,Technology,Koum,206,WhatsApp
77,Rio de Janeiro,Brazil,9800,Jorge,M,Healthcare,Moll Filho,206,hospitals
76,Bangalore,India,9800,Azim,M,Technology,Premji,206,software services
67,London,United Kingdom,9800,Finn,M,Food & Beverage,Rausing,206,packaging
62,Surrey,United Kingdom,9800,Jorn,M,Food & Beverage,Rausing,206,packaging
69,Newmarket,United Kingdom,9800,Kirsten,F,Food & Beverage,Rausing,206,packaging
57,Shenzhen,China,9800,Laisheng,M,Technology,Wang,206,electronics components
0,Oklahoma City,United States,9700,Tom & Judy,,Fashion & Retail,Love,213,retail & gas stations
31,San Francisco,United States,9500,John,M,Technology,Collison,214,payments software
33,San Francisco,United States,9500,Patrick,M,Technology,Collison,214,payment software
93,Woodside,United States,9500,Gordon,M,Technology,Moore,214,Intel
54,Shenzhen,China,9500,Laichun,F,Technology,Wang,214,electronics components
66,Auckland,New Zealand,9400,Graeme,M,Finance & Investments,Hart,218,investments
76,Binzhou,China,9400,Shuliang,F,Metals & Mining,Zheng,218,aluminum products
53,Hefei,China,9300,Renxian,M,Energy,Cao,220,photovoltaic equipment
38,San Francisco,United States,9200,Nathan,M,Technology,Blecharczyk,221,Airbnb
74,Gloucestershire,United Kingdom,9200,James,M,Manufacturing,Dyson,221,vacuums
65,Ruschlikon,Switzerland,9100,Ivan,M,Metals & Mining,Glasenberg,223,mining
56,Seoul,South Korea,9100,Beom-su,M,Technology,Kim,223,online services
53,Seoul,South Korea,9100,Jay Y.,M,Diversified,Lee,223,Samsung
70,Chengdu,China,9100,Yonghao,M,Service,Liu,223,agribusiness
73,Electra,United States,9000,Ann Walton,F,Fashion & Retail,Kroenke,227,Walmart
54,Ningde,China,9000,Ping,M,Automotive,Li,227,batteries
75,,Monaco,9000,Eric,M,Finance & Investments,Wittouck,227,investments
0,London,United Kingdom,8900,Ian & Richard,M,Real Estate,Livingstone,230,real estate
75,Haiger,Germany,8900,Friedhelm,M,Manufacturing,Loh,230,manufacturing
54,Paris,France,8900,Xavier,M,Telecom,Niel,230,"internet, telecom"
78,Hamburg,Germany,8900,Michael,M,Fashion & Retail,Otto,230,"retail, real estate"
71,Cape Town,South Africa,8900,Johann,M,Fashion & Retail,Rupert,230,luxury goods
63,Shenzhen,China,8800,Ka Yan,M,Real Estate,Hui,235,real estate
88,St. Louis,United States,8800,Pauline MacMillan,F,Food & Beverage,Keinath,235,Cargill
83,Kohler,United States,8800,Herbert,M,Manufacturing,Kohler,235,plumbing fixtures
55,Shanghai,China,8800,Ge,M,Healthcare,Li,235,pharmaceutical ingredients
90,Delhi,India,8800,Kushal Pal,M,Real Estate,Singh,235,real estate
76,Hangzhou,China,8800,Qinghou,M,Food & Beverage,Zong,235,beverages
59,Chengdu,China,8700,Kui,M,Real Estate,Cai,241,real estate
69,Denver,United States,8700,Charles,M,Media & Entertainment,Ergen,241,satellite TV
57,Changzhou,China,8700,Jifan,M,Energy,Gao,241,solar equipment
92,Atlanta,United States,8700,Bernard,M,Fashion & Retail,Marcus,241,Home Depot
76,Johannesburg,South Africa,8700,Nicky,M,Metals & Mining,Oppenheimer,241,diamonds
0,Mumbai,India,8600,brothers,M,Diversified,Bajaj,246,diversified
64,Tempe,United States,8600,Ernest,M,Automotive,Garcia,246,used cars
64,Yuxi,China,8600,Paul Xiaoming,M,Manufacturing,Lee,246,packaging
91,Katonah,United States,8600,George,M,Finance & Investments,Soros,246,hedge funds
56,Changzhou,China,8600,Liping,M,Manufacturing,Wang,246,hydraulic machinery
56,Gstaad,Switzerland,8500,Ernesto,M,Healthcare,Bertarelli,251,"biotech, investments"
60,Lexington,United States,8500,Tamara,F,Service,Gustavson,251,self storage
74,St. Gallen,Switzerland,8500,Carlos Alberto,M,Food & Beverage,Sicupira,251,beer
68,Paris,France,8400,Laurent,M,Diversified,Dassault,254,diversified
65,Paris,France,8400,Thierry,M,Diversified,Dassault,254,diversified
57,Paris,France,8400,Marie-Hélène,F,Diversified,Habert-Dassault,254,diversified
57,Huizhou,China,8400,Jincheng,M,Technology,Liu,254,lithium batteries
58,Ningbo,China,8400,Jianrong,M,Fashion & Retail,Ma,254,"textiles, apparel"
71,Santa Barbara,United States,8400,Steven,M,Manufacturing,Rales,254,"manufacturing, investments"
58,Hong Kong,Hong Kong,8400,Joseph,M,Technology,Tsai,254,e-commerce
0,Thurgau,Switzerland,8400,Francine,F,Finance & Investments,von Finck,254,investments
72,Vancouver,Canada,8400,Anthony,M,Food & Beverage,von Mandl,254,alcoholic beverages
70,Gothenberg,Sweden,8300,Carl,M,Finance & Investments,Bennet,263,investments
80,Brookline,United States,8300,Robert,M,Sports,Kraft,263,New England Patriots
59,Jakarta,Indonesia,8300,Chairul,M,Diversified,Tanjung,263,diversified
72,Manila,Philippines,8300,Manuel,M,Real Estate,Villar,263,real estate
54,Laval,France,8200,Jean-Michel,M,Food & Beverage,Besnier,267,cheese
41,Laval,France,8200,Marie,F,Food & Beverage,Besnier Beauvalot,267,cheese
84,Stockholm,Sweden,8200,Gustaf,M,Diversified,Douglas,267,investments
74,Billund,Denmark,8200,Kjeld Kirk,M,Manufacturing,Kristiansen,267,Lego
46,Billund,Denmark,8200,Sofie Kirk,F,Manufacturing,Kristiansen,267,Lego
43,Billund,Denmark,8200,Thomas Kirk,M,Manufacturing,Kristiansen,267,Lego
81,New York,United States,8200,Stephen,M,Real Estate,Ross,267,real estate
38,Billund,Denmark,8200,Agnete Kirk,F,Manufacturing,Thinggaard,267,Lego
57,San Francisco,United States,8100,Marc,M,Technology,Benioff,275,business software
36,London,United Kingdom,8100,Dmitri,M,Media & Entertainment,Bukhman,275,online games
40,London,United Kingdom,8100,Igor,M,Media & Entertainment,Bukhman,275,online games
74,Hong Kong,Hong Kong,8100,Francis,M,Real Estate,Choi,275,real estate
71,Hyderabad,India,8100,Murali,M,Healthcare,Divi,275,pharmaceuticals
70,Henderson,United States,8100,Nancy Walton,F,Fashion & Retail,Laurie,275,Walmart
57,Herzogenaurach,Germany,8100,Georg,M,Automotive,Schaeffler,275,auto parts
57,Guangzhou,China,8100,Liangsong,M,Manufacturing,Yao,275,furniture
61,Shanghai,China,8100,Huijuan,F,Healthcare,Zhong,275,pharmaceuticals
0,Beverly Hills,United States,8000,Stewart & Lynda,,Food & Beverage,Resnick,284,"agriculture, water"
78,Atherton,United States,8000,George,M,Finance & Investments,Roberts,284,private equity
49,Bryn Mawr,United States,8000,Michael,M,Fashion & Retail,Rubin,284,online retail
84,Winnetka,United States,8000,Patrick,M,Finance & Investments,Ryan,284,insurance
55,London,United Kingdom,7900,Christopher,M,Finance & Investments,Hohn,288,hedge funds
57,Los Angeles,United States,7900,Marijke,F,Food & Beverage,Mars,288,"candy, pet food"
61,Alexandria,United States,7900,Pamela,F,Food & Beverage,Mars,288,"candy, pet food"
63,New York,United States,7900,Valerie,F,Food & Beverage,Mars,288,"candy, pet food"
65,Philadelphia,United States,7900,Victoria,F,Food & Beverage,Mars,288,"candy, pet food"
78,Heidelberg,Germany,7900,Hasso,M,Technology,Plattner,288,software
49,Vienna,Austria,7900,Georg,M,Diversified,Stumpf,288,"real estate, construction"
73,Jackson,United States,7900,Christy,F,Fashion & Retail,Walton,288,Walmart
87,Milan,Italy,7800,Giorgio,M,Fashion & Retail,Armani,296,luxury goods
64,Mumbai,India,7800,Gopikishan,M,Fashion & Retail,Damani,296,"retail, investments"
51,Quanzhou,China,7800,Shizhong,M,Fashion & Retail,Ding,296,sports apparel
74,Atlanta,United States,7800,Jim,M,Media & Entertainment,Kennedy,296,"media, automotive"
60,London,United Kingdom,7800,German,M,Energy,Khan,296,"oil, banking, telecom"
65,Changsha,China,7800,Wengen,M,Manufacturing,Liang,296,construction equipment
71,New South Wales,Australia,7800,Blair,F,Media & Entertainment,Parry-Okeden,296,"media, automotive"
65,Shanghai,China,7800,Eng-meng,M,Food & Beverage,Tsai,296,"food, beverages"
0,Pune,India,7700,siblings,,Automotive,Bajaj,304,"two-wheelers, finance"
79,Mumbai,India,7700,Ashwin,M,Manufacturing,Dani,304,paints
58,Quanzhou,China,7700,Shijia,M,Fashion & Retail,Ding,304,sports apparel
53,Verbier,Switzerland,7700,Karel,M,Gambling & Casinos,Komarek,304,"oil and gas, IT, lotteries"
78,New York,United States,7700,Henry,M,Finance & Investments,Kravis,304,private equity
71,Lausanne,Switzerland,7700,Frederik,M,Healthcare,Paulsen,304,health care
0,Sao Paulo,Brazil,7700,,,Finance & Investments,Safra ,304,banking
61,Cairo,Egypt,7700,Nassef,M,Construction & Engineering,Sawiris,304,"construction, investments"
64,Quanzhou,China,7700,Shihui,M,Food & Beverage,Xu,304,"snacks, beverages"
46,Wilen bei Wollerau,Switzerland,7600,Rahel,F,Manufacturing,Blocher,313,chemicals
71,Naples,United States,7600,Shahid,M,Automotive,Khan,313,auto parts
53,Feldmeilen,Switzerland,7600,Magdalena,F,Manufacturing,Martullo-Blocher,313,chemicals
70,Paris,France,7500,Vincent,M,Finance & Investments,Bolloré,316,investments
63,Houston,United States,7500,Jeffery,M,Energy,Hildebrand,316,oil
58,Seoul,South Korea,7500,Michael,M,Finance & Investments,Kim,316,private equity
77,Houston,United States,7500,Richard,M,Energy,Kinder,316,pipelines
71,New York,United States,7500,David,M,Finance & Investments,Shaw,316,hedge funds
81,Elizabeth,United States,7400,John,M,Media & Entertainment,Malone,321,cable television
69,Crans-Montana,Switzerland,7400,Vicky,F,Finance & Investments,Safra,321,banking
51,Cary,United States,7400,Tim,M,Media & Entertainment,Sweeney,321,video games
68,Lagos,Nigeria,7300,Mike,M,Diversified,Adenuga,324,"telecom, oil"
80,Oklahoma City,United States,7300,David,M,Fashion & Retail,Green,324,retail
67,Palm Beach,United States,7300,Paul Tudor,M,Finance & Investments,Jones,324,hedge funds
60,Los Altos,United States,7300,Yuri,M,Finance & Investments,Milner,324,tech investments
67,Newport Beach,United States,7300,Henry,M,Technology,Samueli,324,semiconductors
69,Los Angeles,United States,7300,Patrick,M,Healthcare,Soon-Shiong,324,pharmaceuticals
78,Stockholm,Sweden,7200,Antonia,F,Diversified,Ax:son Johnson,330,diversified
80,Hong Kong,Hong Kong,7200,Michael,M,Energy,Kadoorie,330,"hotels, energy"
93,Taipei,Taiwan,7200,Shu-hong,M,Manufacturing,Lin,330,petrochemicals
74,Humlebaek,Denmark,7200,Niels Peter,M,Healthcare,Louis-Hansen,330,medical devices
67,Naples,United States,7200,Reinhold,M,Healthcare,Schmieding,330,medical devices
93,Singapore,Singapore,7200,Cho Yaw,M,Finance & Investments,Wee,330,banking
85,Milan,Italy,7100,Silvio,M,Diversified,Berlusconi,336,media
79,Atlanta,United States,7100,Arthur,M,Sports,Blank,336,Home Depot
64,Suzhou,China,7100,Dongqi,M,Manufacturing,Qian,336,home-cleaning robots
68,Hobe Sound,United States,7100,J. Christopher,M,Food & Beverage,Reyes,336,food distribution
66,Palm Beach,United States,7100,Jude,M,Food & Beverage,Reyes,336,food distribution
37,London,United Kingdom,7100,Nik,M,Finance & Investments,Storonsky,336,fintech
