"ActionDate","EquityNumber","ValidityDate","NV","Price","ForeignCurrencyRate","ForeignTaxVL","TaxVL","TaxPrecentage","VL","NisVL","Name","CurrencyCode","Action","Commission"
"24/01/2023","71110951","24/01/2023","681","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","1500","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","72538465","24/01/2023","560","18.76","3.37","0","0","0","0","0","CAPITAL SOUTHWE","USD","העברה חיצונית לח-ן","0"
"24/01/2023","72538465","24/01/2023","1260","18.76","3.37","0","0","0","0","0","CAPITAL SOUTHWE","USD","העברה חיצונית לח-ן","0"
"24/01/2023","72538465","24/01/2023","358","18.76","3.37","0","0","0","0","0","CAPITAL SOUTHWE","USD","העברה חיצונית לח-ן","0"
"24/01/2023","72538465","24/01/2023","1127","18.76","3.37","0","0","0","0","0","CAPITAL SOUTHWE","USD","העברה חיצונית לח-ן","0"
"24/01/2023","72538465","24/01/2023","1128","18.76","3.37","0","0","0","0","0","CAPITAL SOUTHWE","USD","העברה חיצונית לח-ן","0"
"24/01/2023","72538465","24/01/2023","415","18.76","3.37","0","0","0","0","0","CAPITAL SOUTHWE","USD","העברה חיצונית לח-ן","0"
"24/01/2023","99409005","24/01/2023","378.38","0","1","0","0","0","378.38","378.38","עו""ש מט""י","ILS","מרכז תפעל פסגות","0"
"06/02/2023","71110951","06/02/2023","38","14.82","3.47","0","0","0","-563.16","-1954.17","ARBOR REALTY TR","USD","קניה בבורסה","0"
"06/02/2023","71110951","06/02/2023","300","14.81","3.47","0","0","0","-4444.5","-15422.42","ARBOR REALTY TR","USD","קניה בבורסה","0"
"14/02/2023","71110951","14/02/2023","30","14.78","3.5","0","0","0","-443.4","-1551.9","ARBOR REALTY TR","USD","קניה בבורסה","0"
"14/02/2023","71110951","14/02/2023","320","14.77","3.5","0","0","0","-4728","-16548","ARBOR REALTY TR","USD","קניה בבורסה","0"
"14/02/2023","72538465","14/02/2023","300","19.12","3.5","0","0","0","-5737.5","-20081.25","CAPITAL SOUTHWE","USD","קניה בבורסה","0"
"16/02/2023","71110951","16/02/2023","675","14.91","3.54","0","0","0","-10067.02","-35637.25","ARBOR REALTY TR","USD","קניה בבורסה","0"
"21/02/2023","71110951","21/02/2023","327","15.31","3.65","0","0","0","-5008.01","-18279.24","ARBOR REALTY TR","USD","קניה בבורסה","0"
"03/03/2023","71029847","20/03/2023","0","0","3.68","0","0","0","792.36","2915.88","PXD","USD","דיבידנד","0"
"08/03/2023","71110951","08/03/2023","334","14.99","3.59","0","0","0","-5005.46","-17969.6","ARBOR REALTY TR","USD","קניה בבורסה","0"
"08/03/2023","72538465","08/03/2023","267","18.76","3.59","0","0","0","-5008.41","-17980.19","CAPITAL SOUTHWE","USD","קניה בבורסה","0"
"10/03/2023","71110951","20/03/2023","0","0","3.68","0","0","0","5601.2","20612.42","ARBOR REALTY TR","USD","דיבידנד","0"
"10/03/2023","72538465","10/03/2023","300","17.68","3.6","0","0","0","-5304","-19094.4","CAPITAL SOUTHWE","USD","קניה בבורסה","0"
"10/03/2023","72538465","10/03/2023","300","17.7","3.6","0","0","0","-5309.49","-19114.16","CAPITAL SOUTHWE","USD","קניה בבורסה","0"
"14/03/2023","72538465","03/04/2023","0","0","3.59","-75.19","0","25","300.75","1079.69","CAPITAL SOUTHWE","USD","דיבידנד","0"
"17/03/2023","71110951","17/03/2023","450","11.7","3.67","0","0","0","-5267.25","-19330.81","ARBOR REALTY TR","USD","קניה בבורסה","0"
"20/03/2023","71029847","20/03/2023","0","0","3.68","0","0","0","-792.36","-2915.88","PXD","USD","קיעה דיבידנד","0"
"20/03/2023","71029847","20/03/2023","0","0","3.68","0","0","0","792.36","2915.88","PXD","USD","דיבידנד","0"
"20/03/2023","71110951","20/03/2023","0","0","3.68","0","0","0","-5601.2","-20612.42","ARBOR REALTY TR","USD","קיעה דיבידנד","0"
"20/03/2023","71110951","20/03/2023","0","0","3.68","0","0","0","5601.2","20612.42","ARBOR REALTY TR","USD","דיבידנד","0"
"03/04/2023","72538465","03/04/2023","0","0","3.59","-75.19","0","25","300.75","1079.69","CAPITAL SOUTHWE","USD","דיבידנד","0"
"03/04/2023","72538465","03/04/2023","0","0","3.59","75.19","0","25","-300.75","-1079.69","CAPITAL SOUTHWE","USD","קיעה דיבידנד","0"
"16/04/2023","99409005","16/04/2023","36000","0","1","0","0","0","-36000","-36000","עו""ש מט""י","ILS","העברה לח.בסניף","0"
"19/04/2023","72538465","19/04/2023","0","0","3.66","-796.99","0","25","3187.95","11667.9","CAPITAL SOUTHWE","USD","דיבידנד","0"
"19/04/2023","72538465","19/04/2023","0","0","3.66","796.99","0","25","-3187.95","-11667.9","CAPITAL SOUTHWE","USD","קיעה דיבידנד","0"
"19/04/2023","72538465","19/04/2023","0","0","3.66","-796.99","0","25","3187.95","11667.9","CAPITAL SOUTHWE","USD","דיבידנד","0"
"15/05/2023","71110951","15/05/2023","200","12.77","3.65","0","0","0","-2554","-9322.1","ARBOR REALTY TR","USD","קניה בבורסה","-6.5"
"18/05/2023","71110951","01/06/2023","0","0","3.74","-1538.57","0","25","6154.26","23016.93","ARBOR REALTY TR","USD","דיבידנד","0"
"31/05/2023","71029847","22/06/2023","0","0","3.63","-118.57","0","25","474.28","1721.64","PXD","USD","דיבידנד","0"
"01/06/2023","71110951","01/06/2023","0","0","3.74","-1538.57","0","25","6154.26","23016.93","ARBOR REALTY TR","USD","דיבידנד","0"
"14/06/2023","72538465","03/07/2023","0","0","3.71","-887.21","0","25","3548.85","13166.23","CAPITAL SOUTHWE","USD","דיבידנד","0"
"22/06/2023","71029847","22/06/2023","0","0","3.63","-118.57","0","25","474.28","1721.64","PXD","USD","דיבידנד","0"
"03/07/2023","72538465","03/07/2023","0","0","3.71","-887.21","0","25","3548.85","13166.23","CAPITAL SOUTHWE","USD","דיבידנד","0"
"08/08/2023","71029847","08/08/2023","71","230.92","3.7","0","0","25","16395.36","60662.83","PXD","USD","מכירה בבורסה","-6.64"
"08/08/2023","71029847","08/08/2023","71","230.93","3.7","0","0","25","16396.03","60665.31","PXD","USD","מכירה בבורסה","-6.64"
"14/08/2023","71110951","01/09/2023","0","0","3.8","-1575.2","0","25","6300.79","23943","ARBOR REALTY TR","USD","דיבידנד","0"
"01/09/2023","71110951","01/09/2023","0","0","3.8","-1575.2","0","25","6300.79","23943","ARBOR REALTY TR","USD","דיבידנד","0"
"14/09/2023","72538465","02/10/2023","0","0","3.83","-932.33","0","25","3729.3","14283.22","CAPITAL SOUTHWE","USD","דיבידנד","0"
"02/10/2023","72538465","02/10/2023","0","0","3.83","-932.33","0","25","3729.3","14283.22","CAPITAL SOUTHWE","USD","דיבידנד","0"
"03/10/2023","71110951","03/10/2023","714","13.99","3.85","0","0","0","-9986.15","-38446.68","ARBOR REALTY TR","USD","קניה בבורסה","-6.5"
"03/10/2023","71384143","03/10/2023","437","22.92","3.85","0","0","0","-10014.03","-38554.02","NEXTERA ENERGY","USD","קניה בבורסה","-6.5"
"04/10/2023","71110951","04/10/2023","743","13.47","3.86","0","0","0","-10008.21","-38631.69","ARBOR REALTY TR","USD","קניה בבורסה","-6.5"
"04/10/2023","71384143","04/10/2023","437","22.97","3.86","0","0","0","-10038.59","-38748.96","NEXTERA ENERGY","USD","קניה בבורסה","-6.5"
"17/10/2023","71384143","17/10/2023","452","22.12","4.01","0","0","0","-9998.24","-40092.94","NEXTERA ENERGY","USD","קניה בבורסה","-6.5"
"26/10/2023","71110951","26/10/2023","196","12.85","4.08","0","0","0","-2517.62","-10271.89","ARBOR REALTY TR","USD","קניה בבורסה","-6.5"
"03/11/2023","71384143","15/11/2023","0","0","3.77","-287.58","0","25","1150.31","4336.67","NEXTERA ENERGY","USD","דיבידנד","0"
"15/11/2023","71384143","15/11/2023","0","0","3.77","-287.58","0","25","1150.31","4336.67","NEXTERA ENERGY","USD","דיבידנד","0"
"16/11/2023","71110951","01/12/2023","0","0","3.74","-1752.9","0","25","7011.58","26223.31","ARBOR REALTY TR","USD","דיבידנד","0"
"01/12/2023","71110951","01/12/2023","0","0","3.74","-1752.9","0","25","7011.58","26223.31","ARBOR REALTY TR","USD","דיבידנד","0"
"14/12/2023","72538465","01/01/2024","0","0","3.63","-947.36","0","25","3789.45","13755.7","CAPITAL SOUTHWE","USD","דיבידנד","0"
"01/01/2024","72538465","02/01/2024","0","0","3.62","-857.14","0","25","3428.55","12411.35","CAPITAL SOUTHWE","USD","דיבידנד","0"
"02/01/2024","72538465","02/01/2024","0","0","3.62","-857.14","0","25","3428.55","12411.35","CAPITAL SOUTHWE","USD","דיבידנד","0"
"02/01/2024","72538465","03/01/2024","0","0","3.65","-90.23","0","25","360.9","1317.28","CAPITAL SOUTHWE","USD","דיבידנד","0"
"03/01/2024","72538465","03/01/2024","0","0","3.65","-90.23","0","25","360.9","1317.28","CAPITAL SOUTHWE","USD","דיבידנד","0"
